radar/front | seq = 50 | latency = 21810 µs
camera/front | seq = 112 | latency = 23617 µs
camera/right | seq = 110 | latency = 28902 µs
camera/left | seq = 112 | latency = 23240 µs
radar/rear | seq = 50 | latency = 22841 µs
perception/objects | seq = 53 | latency = 117 µs
camera/rear | seq = 111 | latency = 24315 µs
camera/front | seq = 113 | latency = 22283 µs
camera/right | seq = 111 | latency = 26564 µs
lidar/aux | seq = 44 | latency = 53479 µs
camera/left | seq = 113 | latency = 32331 µs
camera/rear | seq = 112 | latency = 23542 µs
radar/front | seq = 51 | latency = 14845 µs
camera/left | seq = 114 | latency = 16051 µs
camera/right | seq = 112 | latency = 19267 µs
camera/rear | seq = 113 | latency = 22667 µs
radar/rear | seq = 51 | latency = 21688 µs
perception/objects | seq = 54 | latency = 115 µs
camera/front | seq = 115 | latency = 21045 µs
camera/left | seq = 115 | latency = 23814 µs
camera/right | seq = 113 | latency = 27575 µs
camera/rear | seq = 114 | latency = 24105 µs
camera/front | seq = 116 | latency = 26981 µs
lidar/main | seq = 46 | latency = 53123 µs
camera/left | seq = 116 | latency = 26790 µs
radar/front | seq = 52 | latency = 22076 µs
camera/right | seq = 114 | latency = 24778 µs
camera/rear | seq = 115 | latency = 25347 µs
radar/rear | seq = 52 | latency = 19595 µs
perception/objects | seq = 55 | latency = 107 µs
camera/left | seq = 117 | latency = 25491 µs
camera/front | seq = 117 | latency = 29774 µs
camera/right | seq = 115 | latency = 22581 µs
camera/rear | seq = 116 | latency = 24741 µs
camera/left | seq = 118 | latency = 20417 µs
camera/right | seq = 116 | latency = 22896 µs
