camera/rear | seq = 116 | latency = 27037 µs
lidar/aux | seq = 54 | latency = 42926 µs
radar/front | seq = 53 | latency = 29750 µs
camera/front | seq = 119 | latency = 33435 µs
camera/left | seq = 114 | latency = 32487 µs
camera/right | seq = 117 | latency = 38921 µs
camera/right | seq = 118 | latency = 15582 µs
perception/objects | seq = 58 | latency = 920 µs
camera/left | seq = 115 | latency = 19584 µs
camera/rear | seq = 118 | latency = 20849 µs
camera/front | seq = 121 | latency = 18406 µs
radar/front | seq = 54 | latency = 15321 µs
camera/right | seq = 119 | latency = 16759 µs
camera/rear | seq = 119 | latency = 23530 µs
camera/left | seq = 116 | latency = 30161 µs
radar/rear | seq = 54 | latency = 25180 µs
camera/front | seq = 122 | latency = 30069 µs
perception/objects | seq = 59 | latency = 781 µs
camera/right | seq = 120 | latency = 30144 µs
lidar/main | seq = 53 | latency = 46690 µs
camera/rear | seq = 120 | latency = 30721 µs
camera/left | seq = 117 | latency = 33408 µs
camera/right | seq = 121 | latency = 28035 µs
camera/front | seq = 123 | latency = 33702 µs
radar/front | seq = 55 | latency = 31688 µs
camera/left | seq = 118 | latency = 32540 µs
camera/rear | seq = 121 | latency = 34612 µs
radar/rear | seq = 55 | latency = 31611 µs
perception/objects | seq = 60 | latency = 530 µs
camera/right | seq = 122 | latency = 35413 µs
camera/front | seq = 124 | latency = 31966 µs
camera/left | seq = 119 | latency = 27685 µs
camera/rear | seq = 122 | latency = 25576 µs
camera/front | seq = 125 | latency = 25818 µs
radar/front | seq = 56 | latency = 26379 µs
lidar/main | seq = 55 | latency = 44415 µs
